"cross_space","cross_run","p_obs","core_core","core_trans","trans_core","trans_trans","land_het","hp"
"mean","2.5%",0.1,0.1240478515625,11.23642578125,0,12.6628662109375,0.000977517106549364,"0.5"
"mean","2.5%",0.2,3.212255859375,4.1147705078125,0.0492431640625,14.0905517578125,0.000977517106549364,"0.5"
"mean","2.5%",0.3,6.6177978515625,1.8108642578125,0.3675537109375,13.2817138671875,0.000977517106549364,"0.5"
"mean","2.5%",0.4,9.5942138671875,0.932373046875,0.7986572265625,10.5391845703125,0.000977517106549364,"0.5"
"mean","2.5%",0.5,11.5791259765625,0.583447265625,1.2784912109375,8.2849853515625,0.000977517106549364,"0.5"
"mean","2.5%",0.6,13.0375,0.3918701171875,1.765478515625,6.5116455078125,0.000977517106549364,"0.5"
"mean","2.5%",0.7,14.276611328125,0.258251953125,2.2353515625,5.1467529296875,0.000977517106549364,"0.5"
"mean","2.5%",0.8,15.2834228515625,0.18388671875,2.769677734375,4.0558837890625,0.000977517106549364,"0.5"
"mean","2.5%",0.9,15.9816162109375,0.1224853515625,3.2191650390625,3.235546875,0.000977517106549364,"0.5"
"mean","2.5%",1,16.45205078125,0.0912353515625,3.6739501953125,2.6171630859375,0.000977517106549364,"0.5"
"mean","50%",0.1,0.513671875,12.65625,0.0029296875,15.9013671875,0.000977517106549364,"0.5"
"mean","50%",0.2,4.23779296875,5.7666015625,0.1640625,15.990234375,0.000977517106549364,"0.5"
"mean","50%",0.3,8.439453125,2.91748046875,0.62451171875,14.341796875,0.000977517106549364,"0.5"
"mean","50%",0.4,11.48095703125,1.724609375,1.31884765625,12.8642578125,0.000977517106549364,"0.5"
"mean","50%",0.5,13.66748046875,1.15966796875,2.15185546875,11.623046875,0.000977517106549364,"0.5"
"mean","50%",0.6,15.26171875,0.865234375,2.9921875,10.3046875,0.000977517106549364,"0.5"
"mean","50%",0.7,16.35693359375,0.6611328125,3.82177734375,9.15673828125,0.000977517106549364,"0.5"
"mean","50%",0.8,17.10791015625,0.525390625,4.66064453125,8.17333984375,0.000977517106549364,"0.5"
"mean","50%",0.9,17.626953125,0.43408203125,5.400390625,7.38818359375,0.000977517106549364,"0.5"
"mean","50%",1,18.02587890625,0.37841796875,6.09033203125,6.72314453125,0.000977517106549364,"0.5"
"mean","97.5%",0.1,0.9890869140625,14.13916015625,0.05087890625,18.1258544921875,0.000977517106549364,"0.5"
"mean","97.5%",0.2,5.548095703125,7.7505859375,0.359228515625,16.97333984375,0.000977517106549364,"0.5"
"mean","97.5%",0.3,9.989306640625,4.70361328125,0.9331787109375,15.0335693359375,0.000977517106549364,"0.5"
"mean","97.5%",0.4,13.3240234375,3.138818359375,1.7555908203125,13.94091796875,0.000977517106549364,"0.5"
"mean","97.5%",0.5,15.437353515625,2.3931396484375,2.8251220703125,13.22998046875,0.000977517106549364,"0.5"
"mean","97.5%",0.6,16.7468994140625,1.854443359375,4.071044921875,12.684521484375,0.000977517106549364,"0.5"
"mean","97.5%",0.7,17.605712890625,1.5149169921875,5.4428955078125,12.156298828125,0.000977517106549364,"0.5"
"mean","97.5%",0.8,18.19755859375,1.3052978515625,6.6124267578125,11.6283935546875,0.000977517106549364,"0.5"
"mean","97.5%",0.9,18.649462890625,1.1276123046875,7.780517578125,11.17333984375,0.000977517106549364,"0.5"
"mean","97.5%",1,18.910498046875,1.0265625,8.8701171875,10.7403564453125,0.000977517106549364,"0.5"
"var","2.5%",0.1,0.127204210387647,5.16486742424242,0,2.68736265598271,0.000977517106549364,"0.5"
