"cross_space","cross_run","p_obs","comm_stat","(0,0.333]","(0.333,0.667]","(0.667,1]","scale","land_het","hp"
"mean","2.5%",0.1,"rich",3.340478515625,2.515283203125,0.077685546875,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.1,"abun",3.769921875,3.379541015625,0.11884765625,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.2,"rich",2.620068359375,5.1114501953125,2.5807861328125,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.2,"abun",2.9800537109375,7.2406494140625,4.61083984375,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.3,"rich",2.17080078125,4.97568359375,6.0478759765625,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.3,"abun",2.457177734375,7.268994140625,12.7467529296875,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.4,"rich",2.038818359375,4.4354248046875,9.334130859375,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.4,"abun",2.307861328125,6.4721435546875,22.5302978515625,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.5,"rich",1.8955810546875,4.122216796875,11.946728515625,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.5,"abun",2.146484375,6.0907470703125,32.649072265625,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.6,"rich",1.707421875,3.65224609375,14.0244873046875,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.6,"abun",2.0052490234375,5.4849853515625,42.779345703125,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.7,"rich",1.3770263671875,3.380517578125,15.8399658203125,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.7,"abun",1.670751953125,5.07275390625,52.698486328125,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.8,"rich",1.1164794921875,3.171630859375,17.547607421875,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.8,"abun",1.3671875,4.692529296875,62.60478515625,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.9,"rich",0.9070556640625,3.071240234375,18.84677734375,NA,0.000977517106549364,"0.5"
"mean","2.5%",0.9,"abun",1.09873046875,4.557470703125,72.49580078125,NA,0.000977517106549364,"0.5"
"mean","2.5%",1,"rich",0.72529296875,3.013134765625,19.7337646484375,NA,0.000977517106549364,"0.5"
"mean","2.5%",1,"abun",0.892138671875,4.4349609375,82.277783203125,NA,0.000977517106549364,"0.5"
"mean","50%",0.1,"rich",4.02587890625,3.21337890625,0.36962890625,NA,0.000977517106549364,"0.5"
"mean","50%",0.1,"abun",4.53369140625,4.228515625,0.61376953125,NA,0.000977517106549364,"0.5"
"mean","50%",0.2,"rich",3.41748046875,5.8759765625,3.43310546875,NA,0.000977517106549364,"0.5"
"mean","50%",0.2,"abun",3.90869140625,8.294921875,6.6904296875,NA,0.000977517106549364,"0.5"
"mean","50%",0.3,"rich",2.8818359375,6.2060546875,7.26953125,NA,0.000977517106549364,"0.5"
"mean","50%",0.3,"abun",3.302734375,9.0205078125,16.087890625,NA,0.000977517106549364,"0.5"
"mean","50%",0.4,"rich",2.46826171875,5.97705078125,10.71728515625,NA,0.000977517106549364,"0.5"
"mean","50%",0.4,"abun",2.84716796875,8.732421875,26.11572265625,NA,0.000977517106549364,"0.5"
"mean","50%",0.5,"rich",2.203125,5.63623046875,13.46923828125,NA,0.000977517106549364,"0.5"
"mean","50%",0.5,"abun",2.5517578125,8.30078125,36.3037109375,NA,0.000977517106549364,"0.5"
"mean","50%",0.6,"rich",1.990234375,5.29638671875,15.810546875,NA,0.000977517106549364,"0.5"
"mean","50%",0.6,"abun",2.3125,7.8486328125,46.42529296875,NA,0.000977517106549364,"0.5"
"mean","50%",0.7,"rich",1.83349609375,4.98388671875,17.76416015625,NA,0.000977517106549364,"0.5"
"mean","50%",0.7,"abun",2.130859375,7.40673828125,56.47509765625,NA,0.000977517106549364,"0.5"
"mean","50%",0.8,"rich",1.71044921875,4.76708984375,19.3037109375,NA,0.000977517106549364,"0.5"
"mean","50%",0.8,"abun",1.95849609375,7.04833984375,66.4228515625,NA,0.000977517106549364,"0.5"
"mean","50%",0.9,"rich",1.58056640625,4.53271484375,20.65380859375,NA,0.000977517106549364,"0.5"
"mean","50%",0.9,"abun",1.84765625,6.7158203125,76.2998046875,NA,0.000977517106549364,"0.5"
"mean","50%",1,"rich",1.44873046875,4.32958984375,21.748046875,NA,0.000977517106549364,"0.5"
"mean","50%",1,"abun",1.69580078125,6.4775390625,86.15185546875,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.1,"rich",4.6515380859375,3.79765625,0.8631591796875,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.1,"abun",5.1803466796875,5.085546875,1.6164794921875,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.2,"rich",4.11484375,6.7732177734375,4.4072509765625,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.2,"abun",4.7611572265625,9.585205078125,8.68798828125,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.3,"rich",3.3553955078125,7.606787109375,8.429052734375,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.3,"abun",3.8720703125,10.80849609375,18.5906494140625,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.4,"rich",2.90634765625,7.7300048828125,11.9176025390625,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.4,"abun",3.3717041015625,11.354052734375,29.286572265625,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.5,"rich",2.5501953125,7.3045654296875,14.6669921875,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.5,"abun",2.9851318359375,10.7220458984375,40.0148681640625,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.6,"rich",2.3030029296875,6.90927734375,16.874267578125,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.6,"abun",2.6465087890625,10.27021484375,50.3863525390625,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.7,"rich",2.1265869140625,6.4880615234375,18.839599609375,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.7,"abun",2.468896484375,9.6614501953125,60.6205322265625,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.8,"rich",2.041845703125,6.1994140625,20.6791015625,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.8,"abun",2.3533935546875,9.233740234375,70.620458984375,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.9,"rich",1.9548583984375,5.8064697265625,22.38818359375,NA,0.000977517106549364,"0.5"
"mean","97.5%",0.9,"abun",2.2300537109375,8.7423828125,80.4068115234375,NA,0.000977517106549364,"0.5"
"mean","97.5%",1,"rich",1.87607421875,5.5021728515625,23.903564453125,NA,0.000977517106549364,"0.5"
"mean","97.5%",1,"abun",2.1658447265625,8.3394287109375,90.4355224609375,NA,0.000977517106549364,"0.5"
"var","2.5%",0.1,"rich",3.52783024136272,2.25845246823069,0.080392190554741,NA,0.000977517106549364,"0.5"
"var","2.5%",0.1,"abun",5.05116366538368,4.75246558166086,0.226247408243218,NA,0.000977517106549364,"0.5"
"var","2.5%",0.2,"rich",3.52418915719697,4.02582315722752,2.14765090420332,NA,0.000977517106549364,"0.5"
"var","2.5%",0.2,"abun",5.13160131907533,10.239904534572,11.4029994931039,NA,0.000977517106549364,"0.5"
"var","2.5%",0.3,"rich",2.67855454908205,5.65999012459525,4.18365713587488,NA,0.000977517106549364,"0.5"
"var","2.5%",0.3,"abun",3.89678755804008,13.8571270924976,32.0755703774132,NA,0.000977517106549364,"0.5"
"var","2.5%",0.4,"rich",2.28958419247923,7.08324646413734,5.01581019367058,NA,0.000977517106549364,"0.5"
"var","2.5%",0.4,"abun",3.28762028042522,16.6648189302297,49.1768026790078,NA,0.000977517106549364,"0.5"
"var","2.5%",0.5,"rich",2.14241748858291,7.72436919599218,5.09183451036321,NA,0.000977517106549364,"0.5"
"var","2.5%",0.5,"abun",3.05631932830065,18.8821043489965,62.4156864766618,NA,0.000977517106549364,"0.5"
"var","2.5%",0.6,"rich",2.00134038692113,6.73336667296707,5.88903653470186,NA,0.000977517106549364,"0.5"
"var","2.5%",0.6,"abun",3.02317870616447,18.1681447794477,77.7160592505193,NA,0.000977517106549364,"0.5"
"var","2.5%",0.7,"rich",1.7907042323436,5.83238330889541,6.93233901515151,NA,0.000977517106549364,"0.5"
"var","2.5%",0.7,"abun",2.7302386898216,17.0631342405914,84.3100983769779,NA,0.000977517106549364,"0.5"
"var","2.5%",0.8,"rich",1.56019557978983,5.17075725119135,8.31100747266007,NA,0.000977517106549364,"0.5"
"var","2.5%",0.8,"abun",2.49640962930718,15.3244385958883,89.5711256577239,NA,0.000977517106549364,"0.5"
"var","2.5%",0.9,"rich",1.30306390518084,4.74049316883553,9.95876080614614,NA,0.000977517106549364,"0.5"
"var","2.5%",0.9,"abun",2.11849722018573,14.3204012545439,94.6278635332661,NA,0.000977517106549364,"0.5"
"var","2.5%",1,"rich",1.15760401392962,4.40611263211755,12.0236444586999,NA,0.000977517106549364,"0.5"
"var","2.5%",1,"abun",1.82327490663948,13.1409199972889,100.229133613415,NA,0.000977517106549364,"0.5"
