"cross_space","cross_run","p_obs","core_core","core_trans","trans_core","trans_trans","land_het","d","v","dcorr"
"mean","2.5%",0.1,1.99658203125,8.9956787109375,0.012060546875,9.859423828125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.2,4.543798828125,7.276611328125,0.2442626953125,10.5663330078125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.3,5.9984375,6.4555419921875,0.669677734375,10.5259765625,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.4,7.0072021484375,5.939404296875,1.119091796875,10.3916015625,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.5,7.6760498046875,5.6006103515625,1.597021484375,10.194189453125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.6,8.17578125,5.376904296875,2.0265380859375,9.9903564453125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.7,8.5283935546875,5.1941162109375,2.4425048828125,9.79345703125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.8,8.8308837890625,5.049169921875,2.8173828125,9.594677734375,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.9,9.07841796875,4.96357421875,3.1607666015625,9.446630859375,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",1,9.261474609375,4.863525390625,3.4703857421875,9.3176513671875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.1,2.05615234375,9.13134765625,0.02490234375,10.28125,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.2,4.6455078125,7.376953125,0.2900390625,10.875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.3,6.201171875,6.60986328125,0.7578125,10.77197265625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.4,7.158203125,6.1416015625,1.271484375,10.5126953125,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.5,7.82666015625,5.84130859375,1.7890625,10.39794921875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.6,8.30224609375,5.68017578125,2.2626953125,10.22509765625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.7,8.69140625,5.521484375,2.68359375,10.1044921875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.8,8.97900390625,5.39794921875,3.0400390625,9.9404296875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.9,9.2236328125,5.30078125,3.3974609375,9.759765625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",1,9.43408203125,5.21044921875,3.708984375,9.65380859375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.1,2.13046875,9.3646728515625,0.0433349609375,10.4300537109375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.2,4.8630859375,7.496826171875,0.3244140625,11.0300048828125,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.3,6.5208984375,6.70283203125,0.808203125,10.974072265625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.4,7.56103515625,6.306103515625,1.354052734375,10.7570068359375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.5,8.273291015625,5.9901123046875,1.8501708984375,10.5519287109375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.6,8.785205078125,5.8185791015625,2.370751953125,10.362841796875,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.7,9.200390625,5.654638671875,2.8210693359375,10.1787841796875,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.8,9.51240234375,5.58837890625,3.197607421875,10.042724609375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.9,9.8016845703125,5.47001953125,3.54189453125,9.9216064453125,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",1,10.0244384765625,5.414111328125,3.849755859375,9.7791015625,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.1,0.850009235818365,4.57514564909427,0.0138489545149071,14.2056917460899,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.2,2.24375641972904,4.00420714198436,0.407258470223912,9.34056846342711,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.3,3.60946318178,4.07668289975104,1.41249474966398,7.24450989067846,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.4,4.65482629979228,4.04905276778623,2.55874211972294,6.80885982271047,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.5,5.3719094851616,4.00061133003421,3.6403757283648,7.39995112414467,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.6,5.82670223053366,4.13619562561095,4.9123068592299,7.84519634824811,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.7,6.35259042033236,4.31057988052144,6.25789232897269,8.53123014418377,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.8,6.67545534732405,4.33939501332631,7.49056450180993,9.0465982834265,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.9,6.78260878696237,4.3672206009821,8.66796321328201,9.6472252212778,0.000977517106549364,"a0.5","a0.5","1"
