"cross_space","cross_run","rate","core","trans","land_het","d","v","dcorr"
"mean","2.5%","loss",45.221435546875,7.248095703125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%","gain",45.1906005859375,7.2516357421875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%","loss",45.5966796875,7.90576171875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%","gain",45.59228515625,7.95068359375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%","loss",45.7356201171875,8.18154296875,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%","gain",45.7720947265625,8.1529052734375,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%","loss",69.3845534875596,47.1326550615149,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%","gain",68.6962993006552,47.5800554769596,0.000977517106549364,"a0.5","a0.5","1"
"var","50%","loss",76.9134606205706,48.25043434598,0.000977517106549364,"a0.5","a0.5","1"
"var","50%","gain",73.7790028561828,49.4718009225318,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%","loss",78.9134276866447,49.8152207002612,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%","gain",81.7197867027126,51.8590269265869,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%","loss",47.3066650390625,2.4400390625,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%","gain",47.396728515625,2.4283203125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%","loss",47.82080078125,3.64111328125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%","gain",47.86083984375,3.59521484375,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%","loss",48.605322265625,4.2903564453125,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%","gain",48.60712890625,4.2342041015625,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%","loss",54.7544153416728,23.8007469080294,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%","gain",53.3789665811339,24.1570057620051,0.000977517106549364,"a0.5","a0.5","16"
"var","50%","loss",59.6696813141496,33.826041571206,0.000977517106549364,"a0.5","a0.5","16"
"var","50%","gain",59.8756090389785,33.8009292140152,0.000977517106549364,"a0.5","a0.5","16"
"var","97.5%","loss",63.9003054740958,38.6837531931589,0.000977517106549364,"a0.5","a0.5","16"
"var","97.5%","gain",65.321850371151,41.2643170219712,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%","loss",46.1666015625,5.928564453125,0.000977517106549364,"a0.5","a0.5","2"
"mean","2.5%","gain",46.231103515625,5.8722412109375,0.000977517106549364,"a0.5","a0.5","2"
"mean","50%","loss",46.50146484375,6.06005859375,0.000977517106549364,"a0.5","a0.5","2"
"mean","50%","gain",46.48486328125,6.18310546875,0.000977517106549364,"a0.5","a0.5","2"
"mean","97.5%","loss",46.6582275390625,6.62197265625,0.000977517106549364,"a0.5","a0.5","2"
"mean","97.5%","gain",46.78759765625,6.617041015625,0.000977517106549364,"a0.5","a0.5","2"
"var","2.5%","loss",65.4764966321481,40.7090237047898,0.000977517106549364,"a0.5","a0.5","2"
"var","2.5%","gain",64.7093829948299,44.0563978924197,0.000977517106549364,"a0.5","a0.5","2"
"var","50%","loss",71.6910449314211,46.1055770978434,0.000977517106549364,"a0.5","a0.5","2"
"var","50%","gain",71.1098594628238,46.4296297463038,0.000977517106549364,"a0.5","a0.5","2"
"var","97.5%","loss",75.9124562551549,51.852274660351,0.000977517106549364,"a0.5","a0.5","2"
"var","97.5%","gain",75.8406959272666,51.7686743951613,0.000977517106549364,"a0.5","a0.5","2"
"mean","2.5%","loss",46.8718994140625,4.33896484375,0.000977517106549364,"a0.5","a0.5","4"
"mean","2.5%","gain",46.8404296875,4.3071044921875,0.000977517106549364,"a0.5","a0.5","4"
"mean","50%","loss",47.32373046875,4.69287109375,0.000977517106549364,"a0.5","a0.5","4"
"mean","50%","gain",47.39892578125,4.72705078125,0.000977517106549364,"a0.5","a0.5","4"
"mean","97.5%","loss",47.6398681640625,5.2951904296875,0.000977517106549364,"a0.5","a0.5","4"
"mean","97.5%","gain",47.6722412109375,5.3789306640625,0.000977517106549364,"a0.5","a0.5","4"
"var","2.5%","loss",60.7884474470002,34.8049919001634,0.000977517106549364,"a0.5","a0.5","4"
"var","2.5%","gain",59.6757461920745,34.1275605411474,0.000977517106549364,"a0.5","a0.5","4"
"var","50%","loss",72.0581598813233,41.6733770734054,0.000977517106549364,"a0.5","a0.5","4"
"var","50%","gain",70.4119504330095,43.3425715382148,0.000977517106549364,"a0.5","a0.5","4"
"var","97.5%","loss",75.5525577727884,47.3082699474585,0.000977517106549364,"a0.5","a0.5","4"
"var","97.5%","gain",77.3263380958654,51.4807059935927,0.000977517106549364,"a0.5","a0.5","4"
"mean","2.5%","loss",47.461328125,2.681982421875,0.000977517106549364,"a0.5","a0.5","8"
"mean","2.5%","gain",47.477490234375,2.7027099609375,0.000977517106549364,"a0.5","a0.5","8"
"mean","50%","loss",48.04248046875,3.564453125,0.000977517106549364,"a0.5","a0.5","8"
"mean","50%","gain",48.07373046875,3.53466796875,0.000977517106549364,"a0.5","a0.5","8"
"mean","97.5%","loss",48.302978515625,4.331005859375,0.000977517106549364,"a0.5","a0.5","8"
"mean","97.5%","gain",48.341015625,4.346337890625,0.000977517106549364,"a0.5","a0.5","8"
"var","2.5%","loss",56.8801938949093,28.2252312057063,0.000977517106549364,"a0.5","a0.5","8"
"var","2.5%","gain",54.8991396131171,30.1446419843597,0.000977517106549364,"a0.5","a0.5","8"
"var","50%","loss",61.2637458570076,33.253084333761,0.000977517106549364,"a0.5","a0.5","8"
"var","50%","gain",61.6740128413673,33.6337585150904,0.000977517106549364,"a0.5","a0.5","8"
"var","97.5%","loss",67.372390678458,42.297380917606,0.000977517106549364,"a0.5","a0.5","8"
"var","97.5%","gain",64.8212977732848,42.8751590613163,0.000977517106549364,"a0.5","a0.5","8"
"mean","2.5%","loss",49.5892333984375,0.232763671875,0.000977517106549364,"a0","a0","1"
"mean","2.5%","gain",49.5945556640625,0.2301025390625,0.000977517106549364,"a0","a0","1"
"mean","50%","loss",49.74658203125,0.240234375,0.000977517106549364,"a0","a0","1"
"mean","50%","gain",49.74853515625,0.25048828125,0.000977517106549364,"a0","a0","1"
"mean","97.5%","loss",49.9053955078125,0.2527099609375,0.000977517106549364,"a0","a0","1"
"mean","97.5%","gain",49.8922119140625,0.262353515625,0.000977517106549364,"a0","a0","1"
"var","2.5%","loss",23.9620191646811,0.217957199260753,0.000977517106549364,"a0","a0","1"
"var","2.5%","gain",23.8680494142534,0.231193177045149,0.000977517106549364,"a0","a0","1"
"var","50%","loss",24.9760503535863,0.240431023949169,0.000977517106549364,"a0","a0","1"
"var","50%","gain",25.1509376145528,0.250448187774927,0.000977517106549364,"a0","a0","1"
"var","97.5%","loss",26.6951687123885,0.255527171920821,0.000977517106549364,"a0","a0","1"
"var","97.5%","gain",26.6206146091077,0.264511546920821,0.000977517106549364,"a0","a0","1"
"mean","2.5%","loss",49.409619140625,0.2290771484375,0.000977517106549364,"a0","a0","16"
"mean","2.5%","gain",49.412841796875,0.231494140625,0.000977517106549364,"a0","a0","16"
"mean","50%","loss",49.63232421875,0.24267578125,0.000977517106549364,"a0","a0","16"
"mean","50%","gain",49.6318359375,0.23876953125,0.000977517106549364,"a0","a0","16"
"mean","97.5%","loss",49.826708984375,0.2689697265625,0.000977517106549364,"a0","a0","16"
"mean","97.5%","gain",49.8276611328125,0.2603515625,0.000977517106549364,"a0","a0","16"
"var","2.5%","loss",23.731777348523,0.21630284224554,0.000977517106549364,"a0","a0","16"
"var","2.5%","gain",23.6346858437576,0.229961591405486,0.000977517106549364,"a0","a0","16"
"var","50%","loss",25.310934445259,0.241150319984115,0.000977517106549364,"a0","a0","16"
"var","50%","gain",25.2699837335044,0.240673494012708,0.000977517106549364,"a0","a0","16"
"var","97.5%","loss",26.6031848776958,0.260504514334372,0.000977517106549364,"a0","a0","16"
"var","97.5%","gain",26.694900300892,0.271096041055718,0.000977517106549364,"a0","a0","16"
"mean","2.5%","loss",49.3679931640625,0.23896484375,0.000977517106549364,"a0","a0","2"
"mean","2.5%","gain",49.36201171875,0.22763671875,0.000977517106549364,"a0","a0","2"
