"cross_space","cross_run","p_obs","comm_stat","(0,0.33]","(0.33,0.66]","(0.66,1]","land_het","d","v","dcorr"
"mean","97.5%",0.3,"abun",3.5320556640625,6.1636962890625,21.085107421875,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.4,"rich",2.6007568359375,3.3487060546875,7.229443359375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.4,"abun",3.7214111328125,6.8316650390625,30.37353515625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.5,"rich",2.515869140625,3.437744140625,8.3271728515625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.5,"abun",3.8472412109375,7.4662841796875,39.447265625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.6,"rich",2.5151123046875,3.454833984375,9.228662109375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.6,"abun",3.9906982421875,7.8602294921875,48.9806640625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.7,"rich",2.495263671875,3.473876953125,9.97099609375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.7,"abun",4.09375,8.354931640625,58.3554931640625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.8,"rich",2.517529296875,3.4837158203125,10.630615234375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.8,"abun",4.2636474609375,8.9553466796875,67.975927734375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.9,"rich",2.50615234375,3.47470703125,11.168701171875,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.9,"abun",4.3910400390625,9.3158203125,77.470458984375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",1,"rich",2.494384765625,3.4595458984375,11.690478515625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",1,"abun",4.503173828125,9.7321044921875,86.9599365234375,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.1,"rich",2.25609840847996,1.79322763929619,0.762289580851356,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.1,"abun",3.93778230102181,5.58942890185881,5.85391152420119,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.2,"rich",2.38560789822367,2.44903537008187,1.65569606568457,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.2,"abun",4.96322667037054,9.93251313538612,17.7232496572962,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.3,"rich",2.38333402542308,2.85289885370846,2.16408591172562,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.3,"abun",5.89127900094697,15.0187240347019,28.2612855495479,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.4,"rich",2.33159604487414,3.24993890518084,2.65959226845064,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.4,"abun",6.62180409659855,19.5392812958211,38.510387861414,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.5,"rich",2.22373982389418,3.42753247571481,3.07970628188386,0.000977517106549364,"a0.5","a0.5","1"
