"cross_space","cross_run","p_obs","trans_rich","trans_abun","core_rich","core_abun","land_het","d","v","dcorr"
"mean","2.5%",0.1,1.19111328125,1.39169921875,4.879638671875,8.40791015625,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.2,2.081494140625,2.7344970703125,6.981201171875,16.883837890625,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.3,2.801904296875,4.0173095703125,8.1512451171875,25.4014892578125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.4,3.420654296875,5.423681640625,8.8822265625,33.8171142578125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.5,3.9706787109375,6.8648681640625,9.421142578125,42.2989990234375,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.6,4.4411865234375,8.108056640625,9.7971435546875,50.836474609375,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.7,4.75078125,9.382177734375,10.120263671875,59.3433349609375,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.8,5.1526611328125,10.7990234375,10.3860107421875,67.661962890625,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.9,5.4694580078125,12.1810546875,10.5646728515625,76.2368408203125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",1,5.7468017578125,13.5477783203125,10.7568603515625,84.81328125,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.1,1.27197265625,1.486328125,4.99609375,8.48095703125,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.2,2.23095703125,2.92822265625,7.08740234375,17.0458984375,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.3,3.00634765625,4.408203125,8.248046875,25.5703125,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.4,3.69384765625,5.880859375,9.0673828125,34.08544921875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.5,4.18359375,7.32958984375,9.62060546875,42.6640625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.6,4.70751953125,8.78466796875,10.00341796875,51.09423828125,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.7,5.1044921875,10.24951171875,10.30908203125,59.59814453125,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.8,5.4541015625,11.6953125,10.5791015625,68.1787109375,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.9,5.7763671875,13.14453125,10.8076171875,76.68701171875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",1,6.08154296875,14.62060546875,10.9853515625,85.150390625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.1,1.3056396484375,1.4931640625,5.2034912109375,8.61875,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.2,2.3159912109375,3.0177490234375,7.363232421875,17.3542236328125,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.3,3.1456787109375,4.5658447265625,8.75654296875,26.129541015625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.4,3.7631103515625,6.047607421875,9.512548828125,34.481884765625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.5,4.3114501953125,7.453564453125,10.12822265625,43.284521484375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.6,4.78466796875,9.004736328125,10.5477783203125,51.9441650390625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.7,5.230810546875,10.503125,10.8774658203125,60.2417236328125,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.8,5.6001953125,12.0610107421875,11.1725341796875,68.9765380859375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.9,5.9131103515625,13.4367919921875,11.4070068359375,77.6260009765625,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",1,6.20732421875,14.9564697265625,11.5953125,86.2664306640625,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.1,1.7299747411107,2.6129234634653,2.94890010233382,9.09542342528104,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.2,3.55955818899682,7.6033577569419,3.96933250091642,19.1535650497541,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.3,5.43941243489583,15.7337109995494,4.46259240591398,31.820552702873,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.4,6.87886770776057,26.6907856364171,5.27013532502444,43.385834593414,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.5,8.06258345647758,38.574487376283,5.6775455776897,57.2774334830156,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.6,9.15821753955889,52.6932744866126,6.01227712323589,72.0377631850257,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.7,9.85190899831226,72.2106867487246,6.27009064943793,90.167151201086,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.8,10.7469317274942,92.1034201643451,6.41148840343964,110.106655516862,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.9,11.5299364613881,114.573868290071,6.5982345506476,132.551369836533,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",1,12.0971602125718,141.002524624076,6.69900265094239,153.318787014869,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.1,1.82776606793744,2.90220151362414,2.99923392824414,9.41300813706623,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.2,3.75154932642962,8.25095747036901,4.29081420301808,20.1324907975929,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.3,5.64261630926197,17.1239742752627,5.05957842665567,32.9542566860643,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.4,7.21291449016373,27.6785152431574,5.47487427831745,45.6840080492424,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.5,8.46516067937439,41.0315363819648,6.16668528149438,63.1456300021383,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.6,9.68881115209555,58.5456201696909,6.48684743096285,79.5990456798326,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.7,10.5769656303458,75.6558891587243,6.72056709356672,98.8289741225257,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.8,11.2113708913734,98.573068449108,6.89748098423754,120.18790379857,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.9,12.0270511630926,123.895811854686,7.15937156341642,142.212193762219,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",1,12.7692811430841,150.471073035038,7.23580261409457,166.387211326979,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.1,2.01706294771047,3.05061858504399,3.20771875763685,10.0092633110337,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.2,4.19224012268603,8.76428036507973,4.81701433437195,21.8890862935682,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.3,6.1048073985826,18.3923112170088,5.66327218123778,34.8997652383843,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.4,7.85557652507942,29.5598769321237,6.73924062958211,49.7539583715176,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.5,9.57472724504368,45.9885308080172,7.14869116282533,67.5496863162879,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.6,11.0382600577346,61.1748944921111,7.57356672986162,86.9367189409213,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.7,11.8804116645283,81.700294138143,7.90006641675067,107.814723254788,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.8,13.2099351631232,106.130358397483,8.26796779539345,127.928554024048,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.9,13.8596552963481,133.2896928983,8.43377149773949,155.777624022483,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",1,14.5786042124878,164.413782728686,8.5948939766236,181.709032033732,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.1,0.374853515625,0.4386474609375,5.618115234375,9.1992919921875,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.2,0.753271484375,0.9540771484375,8.0380615234375,18.31015625,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.3,0.9904541015625,1.408740234375,9.44267578125,27.549951171875,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.4,1.2387451171875,1.910546875,10.2972412109375,36.6003173828125,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.5,1.4185302734375,2.332470703125,10.96494140625,45.7903564453125,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.6,1.5940673828125,2.8087646484375,11.452587890625,55.0797607421875,0.000977517106549364,"a0.5","a0.5","16"
